Country Code,Short Name,Table Name,Long Name,Region,Income Group,Other groups,GovernmentEffectiveness,Political StabilityNoViolence,VoiceandAccountability,Pop_female,Pop_male,Pop_total,Adolescent fertility %,Women justified in beating %,Energy pc,GDP pc,Human capital index,Statistical performance indicator,Freedom_Index,Economy_Index
PER,Peru,Peru,Republic of Peru,Latin America & Caribbean,Upper middle income,,-0.179623194038868,-0.252456712722778,0.257162335515022,15335819.3,15164570.5,30500389.8,5.987492,4,691.929462953259,11811.1235974214,0.582791292309761,67.4094791666667,0.553688699469462,0.247239583305682
PRY,Paraguay,Paraguay,Republic of Paraguay,Latin America & Caribbean,Upper middle income,,-0.723096323013306,0.0217591105727479,-0.00790855288505554,3264511.6,3380258.1,6644769.7,7.19444,,771.886430164777,11653.9288795108,0.524821685671807,57.8665625,0.507477466084655,0.21162621484734
LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,South Asia,Lower middle income,,-0.106466478854418,-0.069938981719315,-0.0943848272785544,10837815.8,10116024.9,20953840.7,2.134234,,509.471226694594,11478.9776406943,0.591898285230001,72.0870833333333,0.543797298539105,0.247795799187884
ECU,Ecuador,Ecuador,Republic of Ecuador,Latin America & Caribbean,Upper middle income,,-0.370893627405167,-0.114802846312523,-0.109194288402796,8057343.3,8076149.6,16133492.9,8.090362,,825.944462817821,11465.6665218988,0.57957027900219,72.1934375,0.51710067707392,0.245998319592278
DZA,Algeria,Algeria,People's Democratic Republic of Algeria,Middle East & North Africa,Lower middle income,,-0.516259908676147,-0.986704301834106,-0.927011942863464,19505290.8,19898380.7,39403671.5,1.06302,59,1211.88755305685,11452.75732946,0.530208318948746,48.788125,0.365686191674646,0.222311790188315
GUY,Guyana,Guyana,Co-operative Republic of Guyana,Latin America & Caribbean,Upper middle income,HIPC,-0.316714519262314,-0.125009133666754,0.247559124231338,383254.2,382277.5,765531.7,7.883888,10.2,,11369.9211559909,0.494856504996618,38.0573958333333,0.551572680436245,0.17935814950198
ARM,Armenia,Armenia,Republic of Armenia,Europe & Central Asia,Upper middle income,,-0.102906039729714,-0.495527058839798,-0.347909863293171,1547134,1369274.8,2916408.8,2.316138,9.7,970.775627007147,11222.8484292006,0.577574919700622,81.26625,0.488628564502686,0.246253473858177
EGY,Egypt,Egypt. Arab Rep.,Arab Republic of Egypt,Middle East & North Africa,Lower middle income,,-0.611409342288971,-1.31902046203613,-1.27716279029846,45249457.5,46219132.4,91468589.9,5.418468,35.7,871.783098320419,10709.7816745143,0.487935013711453,74.741875,0.30136890060183,0.185588805970615
MDA,Moldova,Moldova,Republic of Moldova,Europe & Central Asia,Lower middle income,,-0.531837636232376,-0.345665836334229,-0.0358670147135854,1457897.7,1348076.6,2805974.3,2.410438,11.2,1171.33689559574,10507.5251410487,0.575423974990845,73.8485416666667,0.491898511814484,0.245057234382137
MNG,Mongolia,Mongolia,Mongolia,East Asia & Pacific,Lower middle income,,-0.241931088268757,0.757465040683746,0.301712256669998,1501654.1,1468426.8,2970080.9,2.847806,10.1,1669.84360380327,10445.3053785437,0.619235599358877,73.5897916666666,0.63206273065169,0.281638788211324
IRQ,Iraq,Iraq,Republic of Iraq,Middle East & North Africa,Upper middle income,,-1.28681333065033,-2.39239954948425,-1.02426937818527,17177558.6,17562975.9,34740534.5,7.527688,51.2,1392.31936473762,10434.3162103443,0.401708522796631,36.1934375,0.182625332523116,0.140012125005658
TUN,Tunisia,Tunisia,Republic of Tunisia,Middle East & North Africa,Lower middle income,,-0.127689719200134,-0.96361790895462,0.240053725242615,5610393.8,5531360.1,11141753.9,0.764872,30.3,945.183164707335,10402.8405974493,0.514908443808555,62.2536458333333,0.500397507086557,0.202316867367736
JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,Middle East & North Africa,Upper middle income,,0.115508382022381,-0.473269534111023,-0.713356709480286,4392004.7,4519088.4,8911093.1,2.712156,18.35,938.879807416025,10400.4908545719,0.554657912135124,59.3954166666667,0.47691116955176,0.227094370165538
IDN,Indonesia,Indonesia,Republic of Indonesia,East Asia & Pacific,Upper middle income,,0.0340968640521169,-0.500771969556808,0.164287909865379,127316600.1,129204461,256521061.1,4.884566,33.25,862.316389783852,10010.5460932873,0.527339287996292,70.893125,0.543762580460888,0.206536017801937
